state_name,district_name,location,latitude,longitude
Maharashtra,Gadchiroli,"Gadchiroli, Maharashtra, India",19.7590704,80.1622807
Maharashtra,Gondia,"Gondia, Maharashtra, India",21.455228,80.1962729
Maharashtra,Hingoli,"Hingoli, Maharashtra, India",19.5431163,77.1739432
Maharashtra,Jalgaon,"Jalgaon, Maharashtra, India",20.8428826,75.5261246
Maharashtra,Jalna,"Jalna, Maharashtra, India",19.918833,75.8708599
Maharashtra,Kolhapur,"Kolhapur, Maharashtra, India",16.7028412,74.2405329
Maharashtra,Latur,"Latur, Maharashtra, India",18.3553347,76.7548997
Maharashtra,Nagpur,"Nagpur, Maharashtra, India",21.1498134,79.0820556
Maharashtra,Nanded,"Nanded, Maharashtra, India",19.0940088,77.4831922
Maharashtra,Nandurbar,"Nandurbar, Maharashtra, India",21.5141622,74.5405513
Maharashtra,Nashik,"Nashik, Maharashtra, India",20.0112475,73.7902364
Maharashtra,Osmanabad,"Osmanabad, Maharashtra, India",18.2822454,76.0588166
Maharashtra,Parbhani,"Parbhani, Maharashtra, India",19.2901981,76.6026443
Maharashtra,Pune,"Pune, Maharashtra, India",18.5213738,73.8545071
Maharashtra,Raigad,"Raigad, Maharashtra, India",18.4928092,73.138071
Maharashtra,Ratnagiri,"Ratnagiri, Maharashtra, India",17.2826079,73.4569787
Maharashtra,Sangli,"Sangli, Maharashtra, India",17.1726928,74.5867654
Maharashtra,Satara,"Satara, Maharashtra, India",17.6361288,74.2982781
Maharashtra,Solapur,"Solapur, Maharashtra, India",17.8499067,75.2763203
Maharashtra,Thane,"Thane, Maharashtra, India",19.1943294,72.9701779
Maharashtra,Wardha,"Wardha, Maharashtra, India",20.8256231,78.6131455
Maharashtra,Washim,"Washim, Maharashtra, India",20.2874178,77.2369655
Maharashtra,Yavatmal,"Yavatmal, Maharashtra, India",20.0638677,78.3565663
Maharashtra,Sindhudurg,"Sindhudurg, Maharashtra, India",16.1357193,73.6522086
Manipur,Bishnupur,"Bishnupur, Manipur, India",24.6267287,93.7600454
Manipur,Chandel,"Chandel, Manipur, India",24.1700959,94.0059673
Manipur,Churachandpur,"Churachandpur, Manipur, India",24.3468839,93.6994143
Manipur,Imphal East,"Imphal East, Manipur, India",24.8515402,94.0094796
Manipur,Imphal West,"Imphal West, Manipur, India",24.757326,93.8584786
Manipur,Senapati,"Senapati, Manipur, India",25.3933697,94.1505175
Manipur,Tamenglong,"Tamenglong, Manipur, India",24.9858596,93.5039967
Manipur,Thoubal,"Thoubal, Manipur, India",24.6252503,94.0083522
Manipur,Ukhrul,"Ukhrul, Manipur, India",25.3110738,94.4753775
