,State_Name,District_Name,latitude,longitude
0,Andhra Pradesh,ANANTAPUR,14.72422,77.4306738
1,Andhra Pradesh,CHITTOOR,13.2026484,79.0032253
2,Andhra Pradesh,EAST GODAVARI,16.9956638,81.7154378
3,Andhra Pradesh,GUNTUR,16.2915189,80.4541588
4,Andhra Pradesh,KADAPA,14.4752936,78.8216861
5,Andhra Pradesh,KRISHNA,16.21277,81.0306958
6,Andhra Pradesh,KURNOOL,15.8309251,78.0425373
7,Andhra Pradesh,PRAKASAM,15.6642643,79.4733001
8,Andhra Pradesh,SPSR NELLORE,14.7174388,79.6605057
9,Andhra Pradesh,SRIKAKULAM,18.2949307,83.8938844
10,Andhra Pradesh,VISAKHAPATANAM,17.68009,83.20161
11,Andhra Pradesh,VIZIANAGARAM,18.1141255,83.4114389
12,Andhra Pradesh,WEST GODAVARI,16.6443028,81.5885247
13,Arunachal Pradesh,ANJAW,28.1114301,96.8269996
14,Arunachal Pradesh,CHANGLANG,27.272007,96.065526
15,Arunachal Pradesh,DIBANG VALLEY,28.8291044,95.9554096
16,Arunachal Pradesh,EAST KAMENG,27.557781,92.9673843
17,Arunachal Pradesh,EAST SIANG,28.0742219,95.4178149
18,Arunachal Pradesh,KURUNG KUMEY,27.9863676,93.1578347
19,Arunachal Pradesh,LOHIT,28.0350161,96.1713515
20,Arunachal Pradesh,LOWER DIBANG VALLEY,28.2149563,95.878774
21,Arunachal Pradesh,LOWER SUBANSIRI,27.5326327,93.7823245
22,Arunachal Pradesh,PAPUM PARE,27.2863666,93.6187716
23,Arunachal Pradesh,TAWANG,27.57417,91.92437
24,Arunachal Pradesh,TIRAP,27.030169,95.4979175
25,Arunachal Pradesh,UPPER SIANG,28.7312046,95.0377315
26,Arunachal Pradesh,UPPER SUBANSIRI,28.2596054,94.0938106
27,Arunachal Pradesh,WEST KAMENG,27.3386269,92.4333662
28,Arunachal Pradesh,WEST SIANG,28.1970922,94.48407
29,Assam,BAKSA,26.6275689,91.3388551
30,Assam,BARPETA,26.345941,91.039708
31,Assam,BONGAIGAON,26.4800126,90.5580387
32,Assam,CACHAR,24.75864,92.8816648
33,Assam,CHIRANG,26.6464231,90.624157
34,Assam,DARRANG,26.4373481,92.0047145
35,Assam,DHEMAJI,27.5945155,94.7192098
36,Assam,DHUBRI,26.132275,90.1249962
37,Assam,DIBRUGARH,27.4844597,94.9019447
38,Assam,DIMA HASAO,25.4003625,93.0752292
39,Assam,GOALPARA,26.0491877,90.6001859
40,Assam,GOLAGHAT,26.5108262,93.9743686
41,Assam,HAILAKANDI,24.6846916,92.5645836
42,Assam,JORHAT,26.7577925,94.2079645
43,Assam,KAMRUP,26.146886,91.2227397
44,Assam,KAMRUP METRO,26.1161783,91.7972485
45,Assam,KARBI ANGLONG,26.0,93.5
46,Assam,KARIMGANJ,24.5828195,92.3725486
47,Assam,KOKRAJHAR,26.4912103,90.1215209
48,Assam,LAKHIMPUR,27.1763356,94.1992932
49,Assam,MARIGAON,26.290712,92.2922184
50,Assam,NAGAON,26.3313646,92.7524763
51,Assam,NALBARI,26.3533631,91.3983662
52,Assam,SIVASAGAR,26.9834936,94.6394226
53,Assam,SONITPUR,26.7677707,92.7014089
54,Assam,TINSUKIA,27.4879722,95.3601855
55,Assam,UDALGURI,26.7047237,92.0421507
56,Bihar,ARARIA,26.2651013,87.3699437
57,Bihar,ARWAL,25.1812831,84.6596648
58,Bihar,AURANGABAD,24.80332,84.4110198
59,Bihar,BANKA,24.8328273,86.8161114
60,Bihar,BEGUSARAI,25.5125411,86.0883392
61,Bihar,BHAGALPUR,25.2861354,87.1304229
62,Bihar,BHOJPUR,25.4501182,84.5635193
63,Bihar,BUXAR,25.5044834,84.1097525
64,Bihar,DARBHANGA,26.0829899,86.0324951
65,Bihar,GAYA,24.6793889,85.0115833
66,Bihar,GOPALGANJ,26.4211166,84.3739133
67,Bihar,JAMUI,24.7562513,86.3011128
68,Bihar,JEHANABAD,25.1529578,85.0065043
69,Bihar,KAIMUR (BHABUA),25.0398678,83.6085775
70,Bihar,KATIHAR,25.5586421,87.6457196
71,Bihar,KHAGARIA,25.4930513,86.6982264
72,Bihar,KISHANGANJ,26.2984144,87.9466715
73,Bihar,LAKHISARAI,25.1543938,86.1744959
74,Bihar,MADHEPURA,25.7806118,86.9364753
75,Bihar,MADHUBANI,26.3503076,86.2296424
76,Bihar,MUNGER,25.2202864,86.5161484
77,Bihar,MUZAFFARPUR,26.1482548,85.3316097
78,Bihar,NALANDA,25.1364914,85.4436546
79,Bihar,NAWADA,24.8173249,85.5179085
80,Bihar,PASHCHIM CHAMPARAN,27.0,84.5
81,Bihar,PATNA,25.6093239,85.1235252
82,Bihar,PURBI CHAMPARAN,26.6465969,84.9091552
83,Bihar,PURNIA,25.7758723,87.4087667
84,Bihar,ROHTAS,24.9394142,84.0197031
85,Bihar,SAHARSA,25.8330757,86.6143751
86,Bihar,SAMASTIPUR,25.7747884,85.8672314
87,Bihar,SARAN,25.9214451,84.7759731
88,Bihar,SHEIKHPURA,25.1250741,85.8160771
89,Bihar,SHEOHAR,26.4934234,85.2717561
90,Bihar,SITAMARHI,26.5942841,85.500428
91,Bihar,SIWAN,26.131008,84.3910745
92,Bihar,SUPAUL,26.2768089,86.7959614
93,Bihar,VAISHALI,25.7491702,85.3972164
